Timestamp,TweetText,PopularityScore,SentimentScore
2017-10-28 13:34:49,"Congratulations, Catalonia! In 1568, the Dutch did the same! #sovereignty #referendum #IndependenciaCatalunya #FVD https://t.co/m77KtqFN5d",1973,"{'neg': 0.5, 'neutral': 1.0, 'pos': 0.5}"
2017-11-19 17:53:43,Deze levensgevaarlijke man is een van de vele redenen waarom we zo snel mogelijk uit de EU moeten stappen. https://t.co/gOg9gIQVuu,1931,"{'neg': 0.625, 'neutral': 0.25, 'pos': 0.375}"
2018-08-13 10:05:25,"In plaats van Turkse weekendscholen die de integratie tegengaan, moeten we onze eigen waarden uitdragen en waar nodig afdwingen. Daarom heeft #FVD de Wet Bescherming Nederlandse Waarden voorgesteld. Steun ons! #FVD https://t.co/4jprp0vZX1 @fvdemocratie",1923,"{'neg': 0.421875, 'neutral': 0.6583333333333333, 'pos': 0.578125}"
2018-03-06 09:27:35,Voelt toch een beetje als een soldaat-van-oranje moment: op weg naar de Britse ambassadeur om een bondgenootschap te sluiten en samen de tirannieke EU te stoppen. Laat de vrijheid &amp; democratie terugkeren op het continent!,1914,"{'neg': 0.7604166666666667, 'neutral': 0.16666666666666663, 'pos': 0.23958333333333331}"
2018-05-06 16:16:35,31-jarige steker Den Haag blijkt asielzoeker uit Syrië. Tja. Onze grenzen staan verder open dan de stadspoorten van Troje ooit gestaan hebben. Kabinet moet NU stoppen met buigen voor EU-druk en we moeten ZELF bepalen wie ons land binnenkomt zoals #FVD wil. https://t.co/u119NxOf9S,1897,"{'neg': 0.4, 'neutral': 0.5333333333333332, 'pos': 0.6}"
2018-01-13 13:04:00,"De verzonnen gevaren van “nepnieuws” en de pleidooien voor nieuwe censuur: ze komen van mainstream media die hun macht verliezen aan nieuwe media, en van mainstream kartelpolitici die hun macht verliezen aan nieuwe partijen en bewegingen. Wanhopige pogingen controle te behouden.",1889,"{'neg': 0.51875, 'neutral': 0.4125, 'pos': 0.48125}"
2018-09-08 19:17:52,"Ongelofelijk. Wat een bedrog, wat een gedraai, wat een gelieg van de premier van Nederland. #FVD https://t.co/y6hx1D4mCO",1838,"{'neg': 0.30000000000000004, 'neutral': 0.050000000000000044, 'pos': 0.7}"
2018-10-11 15:36:47,Ook Dr. Pieter Boot van het Planbureau voor de Leefomgeving (PBL) erkent nu: de honderden - misschien wel duizenden - miljarden die Rutte wil uitgeven aan de “energietransitie” zullen NIETS veranderen aan het klimaat. Stop de groene gekte! Steun #FVD. https://t.co/3K0z8ag0tM https://t.co/7ZWCXJ7c61,1826,"{'neg': 0.40625, 'neutral': 0.4, 'pos': 0.59375}"
2018-09-19 11:54:03,"Had het OM deze rechter niet moeten wraken?

“Rechter die verkrachtende Afghaanse asielzoeker bewust lagere straf gaf, blijkt notoire asielactiviste” https://t.co/CgoVjqbVPg",1804,"{'neg': 0.4083333333333333, 'neutral': 0.3583333333333333, 'pos': 0.5916666666666667}"
2017-09-23 08:04:39,Zojuist Willem van Hanegem verwelkomd als FVD lid nr. 16.280! Word ook lid van @fvdemocratie https://t.co/hgdMnkwN03 https://t.co/GYqp2s2CDB,1790,"{'neg': 0.5, 'neutral': 1.0, 'pos': 0.5}"
2018-01-12 07:50:03,De stupiditeit van deze journalistiek is stuitend. Werkelijk niemand betoogt dat er “geen klimaatverandering” is. De discussie gaat over de vraag 1) hoeveel opwarming er precies is; 2) wat de rol is van de mens daarin; en 3) waaraan we ons geld het beste kunnen uitgeven. https://t.co/InM3PaVeIT,1763,"{'neg': 0.34062499999999996, 'neutral': 0.43125, 'pos': 0.659375}"
2018-10-10 21:45:07,Ik ontken “klimaatverandering” niet. Ik weet dat het in de Middeleeuwen stukken warmer op aarde was dan nu. Dat we rond 1600 een kleine ijstijd meemaakten. En dat het sinds 1850 geleidelijk weer wat warmer wordt op deze planeet. Maar komt dat door de mens? https://t.co/M60Xhilywc,1762,"{'neg': 0.525, 'neutral': 0.475, 'pos': 0.475}"
2017-12-18 19:15:11,Heel veel dank aan alle mensen die dit mogelijk hebben gemaakt! Wij beginnen pas! En SAMEN gaan we dit land weer democratisch maken en het partijkartel BREKEN! #fvd https://t.co/FXxyrWSDUN,1734,"{'neg': 0.6193576388888888, 'neutral': 0.311111111111111, 'pos': 0.3806423611111111}"
2018-01-20 10:40:16,"“Uit Irak gevluchte christen ook in Nederland bedreigd door moslims”. Verschrikkelijk dat dit gebeurt. Maar ook volstrekt logisch met ons absurde, zelf-destructieve immigratiebeleid. Wanneer gaan we EINDELIJK rationeel beleid voeren? #FVD https://t.co/6zmGm3JFII",1717,"{'neg': 0.47250000000000003, 'neutral': 0.1875, 'pos': 0.5275}"
2018-10-05 10:23:49,#Unilever blaast verhuizing naar NL af. Afschaffing #dividendbelasting blijkt NIET bepalend voor het vestigingsklimaat zoals #FVD al vanaf dag één betoogde. #Rutte is alle geloofwaardigheid verloren. Op 20 maart REKENEN WE AF met deze premier en zijn kabinet. #FVD @fvdemocratie https://t.co/4iu1hYOZY1,1707,"{'neg': 0.825, 'neutral': 0.09999999999999998, 'pos': 0.17500000000000004}"
2018-04-25 09:27:15,"Het beleid van Rutte:

Lasten MKB ⬆️
BTW ⬆️
Lasten ZZP ⬆️
Energie-rekening ⬆️
Immigratie ⬆️
En macht EU ⬆️

Maar wel:

Lasten multinationals ⬇️
Democratie &amp; Referenda ⬇️

#kiesmaar #nooitmeerVVD https://t.co/Gm1cPu9wmD",1693,"{'neg': 0.5, 'neutral': 1.0, 'pos': 0.5}"
2017-11-14 13:36:10,"Kijk, zo ziet een goeie vlag in je parlement eruit. Niet dit teleurstellende madurodam-gedoe waar de Tweede Kamer vandaag mee komt. #vlag https://t.co/t5N6gFjowU",1668,"{'neg': 0.4666666666666667, 'neutral': 0.2333333333333334, 'pos': 0.5333333333333333}"
2017-12-10 20:28:11,"Voorzitter VVD: ‘Baudet zet beeld neer alsof Nederland de afgrond inglijdt’. Dat is ook zo, en dat komt door die kutpartij van haar, de VVD. https://t.co/exntxB7SHL",1654,"{'neg': 0.5, 'neutral': 1.0, 'pos': 0.5}"
2017-12-14 11:37:31,"Deelname plenaire debatten sinds 23 maart 2017:

Buma: 2
Klaver: 3
Dijkhoff: 3
Hiddema: 8
Parernotte: 9
Baudet: 17

(Bron: centraal informatiepunt tweede kamer)",1642,"{'neg': 0.5, 'neutral': 0.9, 'pos': 0.5}"
2018-02-12 07:12:27,Liegen alsof het gedrukt staat. Ongelofelijk dat dit soort mensen ons land besturen. https://t.co/GP9yBakETE,1621,"{'neg': 0.30000000000000004, 'neutral': 0.050000000000000044, 'pos': 0.7}"
2018-02-20 21:21:14,Dat je toch in het parlement moet uitleggen wanneer een wet in werking treedt! En de minister van BZK er helemaal niets van begrijpt. Of doet alsof. #artikel88GW,1608,"{'neg': 0.5, 'neutral': 1.0, 'pos': 0.5}"
2017-11-28 09:47:28,"Ik krijg deze bizarre, schandelijke schoolopdracht van een boze leerling doorgestuurd. Schokkend! Maken anderen dit ook mee op hun school / hogeschool / universiteit? Laat het mij en @YerRamautarsing weten en we komen langs om uit te leggen hoe het echt zit! https://t.co/KBKKLl1nno",1595,"{'neg': 0.745625, 'neutral': 0.28, 'pos': 0.254375}"
2018-05-18 17:38:08,Minister Ollongren heeft zich in onze ogen schuldig gemaakt aan ernstige smaad/laster tegen mij en tegen Forum voor Democratie. Daarom startten wij vandaag een artikel 12 procedure om via het gerechtshof alsnog vervolging af te dwingen. #FVD @fvdemocratie https://t.co/gJdY8gle3J,1584,"{'neg': 0.6625, 'neutral': 0.2250000000000001, 'pos': 0.3375}"
2018-06-24 21:36:12,"“Turken nemen Amsterdam en Rotterdam over”, schrijft de VVD-bode verbaasd. Tja. Acties hebben consequenties, vrienden. Als je, zoals de VVD nu al decennia voorstaat, de grenzen open gooit, verandert de samenstelling van je bevolking. https://t.co/RvkiOOP8My via @telegraaf",1558,"{'neg': 0.42500000000000004, 'neutral': 0.31666666666666665, 'pos': 0.575}"
2018-07-10 20:19:46,"Wat Kuzu zegt is de logische consequentie van decennia VVD-CDA beleid. Open grenzen, massa-immigratie, multiculturalisme, EU-filie. Wie dit niet wil, moet consistent zijn, NOOIT meer op het kartel stemmen, tegen de EU zijn en lid worden van #FVD. Al het andere is goedkoop gehuil. https://t.co/kgeiHgcQvw",1545,"{'neg': 0.45999999999999996, 'neutral': 0.5866666666666667, 'pos': 0.54}"
2017-09-20 21:46:22,De ECHTE reden dat de zorgkosten stijgen: verregaande verstrengeling #partijkartel en zorgverzekeraars. #eigenrisico #balletjeballetje #FVD https://t.co/BtzYX8kDDi,1531,"{'neg': 0.5, 'neutral': 0.55, 'pos': 0.5}"
2018-03-08 13:24:21,"Grenscontroles: jarenlang kan het niet, gebeurt het niet, mag het niet, bla bla bla. Dan, vlak voor de verkiezingen, ineens een belofte! Een aankondiging! Het kan wél! De VVD er vaart mee maken! Maar als de verkiezingen eenmaal geweest zijn... https://t.co/tDtqWalkMJ",1525,"{'neg': 0.530517578125, 'neutral': 0.725, 'pos': 0.469482421875}"
2017-12-17 22:01:35,"Vandaag gooiden “amsterdamse jongeren” rotjes naar de hond van een goede vriendin van mij. Ze riepen “Allahu Akbar”. Het beestje is verder ongedeerd, maar WTF!? https://t.co/REWvAyZIho",1524,"{'neg': 0.53125, 'neutral': 0.3666666666666666, 'pos': 0.46875}"
2018-09-22 22:48:22,"De jaarlijkse tweedaagse (48 uur schijnluisteren, schijndebatteren en schijnmoties) zit er weer op. Steun #FVD om deze schertsvertoning, deze parodie op een parlement te veranderen. https://t.co/3K0z8ag0tM https://t.co/vufiPkHT1d",1517,"{'neg': 0.5, 'neutral': 1.0, 'pos': 0.5}"
2018-09-25 15:13:23,"Men had wél geld voor Syrische terroristen, maar niet voor deugdelijk materieel voor onze eigen militairen. 
#FVD #defensie #winterjassen https://t.co/ZIJUVxPHGv via @fvdemocratie",1515,"{'neg': 0.5, 'neutral': 0.7833333333333333, 'pos': 0.5}"
2017-10-30 20:58:07,"OM, stop met onzinnige vervolging Wilders, richt je op deze ontoelaatbare bedreigingen! #FVD https://t.co/gQTOFSS5bB https://t.co/8vsjYzAdu3",1508,"{'neg': 0.875, 'neutral': 0.0, 'pos': 0.125}"
2018-06-20 08:58:12,"Ja, want even nadenken omdat iemand je iets vraagt, omdat je een écht antwoord wil geven in plaats van ingestudeerde dooddoeners en door spindoctors opgetuigde oneliners uit te braken - dat is natuurlijk schandelijk! Hij staat “met de mond vol tanden!” https://t.co/qBHMJs5nPx",1491,"{'neg': 0.6812499999999999, 'neutral': 0.1875, 'pos': 0.31875000000000003}"
2017-12-26 09:48:44,Economen moeten langzamerhand wel toegeven: al die zwartgallige kletspraat over de Brexit sloeg nergens op. Het Verenigd Koninkrijk zal juist enorm kunnen groeien door los te komen van alle verstikkende EU-regels. Net als Nederland. #nexit #fvd https://t.co/Mpn71VAdpw,1464,"{'neg': 0.40208333333333335, 'neutral': 0.22916666666666663, 'pos': 0.5979166666666667}"
2018-02-15 21:51:18,Mijn bijdrage vanavond in het debat met D66 minister Ollongren die niet alleen demoniseert (we hebben al aangifte tegen haar gedaan) en internet-censuur wil invoeren; maar die ook het referendum met bizarre spoed en grote onzorgvuldigheid wil afschaffen. https://t.co/zim2DyOmev,1446,"{'neg': 0.43333333333333335, 'neutral': 0.1499999999999999, 'pos': 0.5666666666666667}"
2018-09-29 09:49:06,Geheime Britse staatsdocumenten vrijgegeven: overheden al in 1971 volledig op de hoogte van de ware bedoelingen van het Europese project (namelijk: machtsovername door Brussel) en geadviseerd erover te liegen tegen hun bevolkingen. https://t.co/wFGSyA7e24,1440,"{'neg': 0.44999999999999996, 'neutral': 0.5666666666666667, 'pos': 0.55}"
2017-12-07 19:43:10,Onmiddellijk het land uit. Nog voor het weekend weer thuis. https://t.co/k4aXELdA3Y,1438,"{'neg': 0.5, 'neutral': 0.7, 'pos': 0.5}"
2017-12-23 12:04:46,"‘Het volstrekt ontspoorde zootje dat in Den Haag dit land naar de knoppen helpt, moet tot de orde worden geroepen. En ik zie gewoon niemand die iets doet. Dus ik moet het zelf doen.' #fvd https://t.co/yNiHiRUZOp via @volkskrant",1435,"{'neg': 0.5916666666666667, 'neutral': 0.31666666666666676, 'pos': 0.4083333333333333}"
2018-02-26 05:46:18,"En dat gaat nog meer worden, let maar op. Je hoort de VVD nu even eurosceptisch leuteren, maar als de verkiezingen eenmaal geweest zijn, zal Rutte gewoon weer tekenen bij het kruisje. ‘Nederland betaalt al 25 jaar het meest aan Europa per inwoner’ https://t.co/aU1SncLbhl",1413,"{'neg': 0.5, 'neutral': 0.30000000000000004, 'pos': 0.5}"
2017-10-16 11:26:24,Europees OM komt er nu toch. Ramp voor onze soevereiniteit. Vertrouw NOOIT MEER op de verkiezingsbeloftes v/d VVD! https://t.co/DpHynvoDmw,1383,"{'neg': 0.5, 'neutral': 1.0, 'pos': 0.5}"
